Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Average calibration accuracy [px]	Average calibration precision SD [px]	Average calibration precision RMS [px]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Ungrouped	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Fire]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC corp]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC face]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Player]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Text]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
65350	972084	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221303166			820	780	809	774	830	786	-0,03341	0,10375	-0,99404	-0,12070	0,10532	-0,98709	3,350	3,500	Valid	Valid	296,2	226,5	631,0	359,3	229,8	628,9	275,0	292,3	282,4	296,9	0,4452	0,6665	0,4410	0,6623	0,4494	0,6707	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	134	820	779	0,4455	0,6660	1	0	0	0	0	1	0										
65367	972100	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221319821			819	779	810	772	829	786	-0,03300	0,10300	-0,99413	-0,12145	0,10572	-0,98695	3,351	3,505	Valid	Valid	296,2	226,4	631,2	359,3	229,7	629,1	275,3	291,8	281,9	297,1	0,4451	0,6662	0,4413	0,6614	0,4488	0,6711	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	134	820	779	0,4455	0,6660	1	0	0	0	0	1	0										
65383	972117	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221336476			822	780	813	776	831	783	-0,03095	0,10514	-0,99398	-0,12066	0,10401	-0,98723	3,361	3,517	Valid	Valid	296,2	226,3	631,5	359,3	229,6	629,4	276,6	293,1	282,4	295,9	0,4461	0,6664	0,4428	0,6638	0,4494	0,6690	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	134	820	779	0,4455	0,6660	1	0	0	0	0	1	0										
65400	972134	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221353130			838	780	831	782	845	779	-0,02162	0,10823	-0,99389	-0,11321	0,10098	-0,98843	3,373	3,524	Valid	Valid	296,3	226,7	630,4	359,3	230,0	628,3	282,6	295,3	287,4	294,2	0,4524	0,6669	0,4497	0,6679	0,4552	0,6658	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	134	820	779	0,4455	0,6660	1	0	0	0	0	1	0										
65417	972150	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221369785			874	786	858	788	889	784	-0,00805	0,11114	-0,99377	-0,09058	0,10369	-0,99048	3,393	3,554	Valid	Valid	296,7	227,3	630,5	359,9	230,5	628,4	291,6	297,8	302,4	296,3	0,4662	0,6710	0,4600	0,6724	0,4724	0,6696	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	33	166						0	0	0	0	0	0										
65433	972167	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221386440			1032	798	1007	784	1057	813	0,07315	0,10946	-0,99130	0,00039	0,12200	-0,99253	3,414	3,586	Valid	Valid	296,0	226,6	630,3	359,2	229,8	628,2	342,5	296,2	359,4	307,1	0,5282	0,6795	0,5185	0,6695	0,5379	0,6895	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	33	166						0	0	0	0	0	0										
65450	972184	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221403095			1038	783	1025	781	1051	785	0,07962	0,10629	-0,99114	-0,00556	0,10489	-0,99447	3,382	3,530	Valid	Valid	297,9	227,3	630,5	361,0	230,4	628,2	348,5	294,9	357,5	296,7	0,5305	0,6688	0,5254	0,6671	0,5357	0,6704	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	133	135	1038	787	0,5305	0,6716	1	0	0	0	0	1	0										
65467	972200	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221419749			1037	785	1024	779	1050	790	0,08069	0,10632	-0,99105	-0,00454	0,10814	-0,99413	3,377	3,542	Valid	Valid	296,9	226,8	630,1	359,9	230,0	627,9	348,2	294,4	357,1	298,3	0,5301	0,6698	0,5250	0,6663	0,5352	0,6734	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	133	135	1038	787	0,5305	0,6716	1	0	0	0	0	1	0										
65483	972217	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221436404			1038	783	1024	780	1052	786	0,08090	0,10650	-0,99102	-0,00364	0,10592	-0,99437	3,371	3,533	Valid	Valid	296,9	226,9	629,8	359,9	230,1	627,6	348,3	294,6	357,6	297,0	0,5305	0,6687	0,5252	0,6665	0,5358	0,6709	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	133	135	1038	787	0,5305	0,6716	1	0	0	0	0	1	0										
65500	972233	Eye Tracker	Magisterka	26.06.2022	Participant5	Recording5	12.06.2022	12.06.2022	23:09:39.940	21:09:39.940	164000	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	19,9			1,58			59			36,6	16,3	7,6	3,07	1,33	0,63	108	48	22	2221453059			1042	787	1029	782	1056	792	0,08315	0,10811	-0,99066	-0,00130	0,10918	-0,99402	3,371	3,533	Valid	Valid	296,9	226,9	629,6	359,9	230,2	627,4	349,8	295,6	359,1	299,1	0,5322	0,6715	0,5269	0,6683	0,5375	0,6748	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	133	135	1038	787	0,5305	0,6716	1	0	0	0	0	1	0										
