Recording timestamp [ms]	Participant name	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]
91636	Participant1	1
91652	Participant1	1
91669	Participant1	1
91686	Participant1	1
91702	Participant1	1
91719	Participant1	1
91736	Participant1	1
91752	Participant1	1
127694	Participant1	1
127710	Participant1	1
127727	Participant1	1
127744	Participant1	1
127760	Participant1	1
127777	Participant1	1
127793	Participant1	1
127810	Participant1	1
127827	Participant1	1
127843	Participant1	1
127860	Participant1	1
127877	Participant1	1
127893	Participant1	1
128543	Participant1	1
128560	Participant1	1
128576	Participant1	1
128593	Participant1	1
128610	Participant1	1
128626	Participant1	1
128643	Participant1	1
128660	Participant1	1
128676	Participant1	1
128693	Participant1	1
128709	Participant1	1
128726	Participant1	1
128743	Participant1	1
128759	Participant1	1
128776	Participant1	1
128826	Participant1	1
128843	Participant1	1
128859	Participant1	1
128876	Participant1	1
128893	Participant1	1
128909	Participant1	1
128926	Participant1	1
128943	Participant1	1
128959	Participant1	1
128976	Participant1	1
128993	Participant1	1
129009	Participant1	1
129026	Participant1	1
129043	Participant1	1
131657	Participant1	1
131674	Participant1	1
131691	Participant1	1
131707	Participant1	1
131724	Participant1	1
131741	Participant1	1
131757	Participant1	1
131774	Participant1	1
131791	Participant1	1
131807	Participant1	1
131824	Participant1	1
134539	Participant1	1
134555	Participant1	1
134572	Participant1	1
134589	Participant1	1
134605	Participant1	1
134622	Participant1	1
134639	Participant1	1
134655	Participant1	1
134672	Participant1	1
134689	Participant1	1
134705	Participant1	1
134722	Participant1	1
134739	Participant1	1
134755	Participant1	1
134772	Participant1	1
134789	Participant1	1
134805	Participant1	1
134822	Participant1	1
134838	Participant1	1
134855	Participant1	1
134872	Participant1	1
134888	Participant1	1
134955	Participant1	1
134972	Participant1	1
134988	Participant1	1
135005	Participant1	1
135022	Participant1	1
135038	Participant1	1
135055	Participant1	1
135072	Participant1	1
135088	Participant1	1
141517	Participant1	1
141534	Participant1	1
141550	Participant1	1
141567	Participant1	1
141584	Participant1	1
141600	Participant1	1
141617	Participant1	1
141634	Participant1	1
141650	Participant1	1
141667	Participant1	1
141684	Participant1	1
141700	Participant1	1
141717	Participant1	1
141734	Participant1	1
141784	Participant1	1
141800	Participant1	1
141817	Participant1	1
141834	Participant1	1
141850	Participant1	1
141867	Participant1	1
141884	Participant1	1
141900	Participant1	1
141917	Participant1	1
141933	Participant1	1
141950	Participant1	1
141967	Participant1	1
141983	Participant1	1
142000	Participant1	1
142067	Participant1	1
142083	Participant1	1
142100	Participant1	1
142117	Participant1	1
142133	Participant1	1
142150	Participant1	1
142167	Participant1	1
142183	Participant1	1
142250	Participant1	1
142267	Participant1	1
142283	Participant1	1
142300	Participant1	1
142317	Participant1	1
142333	Participant1	1
142350	Participant1	1
142366	Participant1	1
142383	Participant1	1
142400	Participant1	1
142416	Participant1	1
142483	Participant1	1
142500	Participant1	1
142516	Participant1	1
142533	Participant1	1
142550	Participant1	1
142566	Participant1	1
142583	Participant1	1
142600	Participant1	1
142616	Participant1	1
142633	Participant1	1
142650	Participant1	1
142666	Participant1	1
142683	Participant1	1
142700	Participant1	1
142716	Participant1	1
142733	Participant1	1
142783	Participant1	1
142800	Participant1	1
142816	Participant1	1
142833	Participant1	1
142849	Participant1	1
142866	Participant1	1
142883	Participant1	1
142899	Participant1	1
142916	Participant1	1
145115	Participant1	1
145131	Participant1	1
145148	Participant1	1
145165	Participant1	1
145181	Participant1	1
145198	Participant1	1
145214	Participant1	1
145231	Participant1	1
145248	Participant1	1
145264	Participant1	1
145281	Participant1	1
145298	Participant1	1
145314	Participant1	1
145348	Participant1	1
145364	Participant1	1
145381	Participant1	1
145398	Participant1	1
145414	Participant1	1
145431	Participant1	1
145448	Participant1	1
145464	Participant1	1
145481	Participant1	1
145498	Participant1	1
