Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Average calibration accuracy [px]	Average calibration precision SD [px]	Average calibration precision RMS [px]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Ungrouped	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Fire]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC corp]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC face]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Player]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Text]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
126852	556927	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806151771			345	800	338	792	352	808	-0,28382	0,12289	-0,95097	-0,36318	0,12442	-0,92337	3,287	3,343	Valid	Valid	304,6	217,1	635,0	368,2	219,9	631,8	115,1	299,1	119,7	305,1	0,2599	0,6803	0,2572	0,6749	0,2626	0,6858	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126869	556944	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806168426			347	798	342	792	351	804	-0,28208	0,12279	-0,95150	-0,36368	0,12250	-0,92343	3,282	3,358	Valid	Valid	304,6	217,1	634,8	368,2	220,0	631,7	116,4	299,1	119,4	303,8	0,2605	0,6791	0,2587	0,6747	0,2622	0,6834	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126885	556960	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806185080			349	801	346	794	353	808	-0,28046	0,12412	-0,95181	-0,36275	0,12441	-0,92355	3,271	3,361	Valid	Valid	304,6	217,1	634,8	368,2	220,0	631,6	117,5	299,9	120,1	305,1	0,2615	0,6811	0,2600	0,6763	0,2630	0,6858	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126902	556977	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806201735			349	802	346	801	353	804	-0,28022	0,12785	-0,95138	-0,36303	0,12235	-0,92371	3,288	3,360	Valid	Valid	304,5	217,2	634,8	368,2	220,0	631,6	117,6	302,5	120,0	303,6	0,2615	0,6821	0,2601	0,6810	0,2628	0,6832	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126919	556994	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806218390			348	800	345	799	351	801	-0,28079	0,12710	-0,95132	-0,36382	0,12075	-0,92361	3,290	3,361	Valid	Valid	304,5	217,2	634,7	368,2	220,0	631,5	117,2	302,0	119,4	302,6	0,2609	0,6807	0,2597	0,6801	0,2622	0,6812	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126935	557010	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806235045			351	799	350	796	353	801	-0,27861	0,12551	-0,95217	-0,36315	0,12080	-0,92387	3,289	3,367	Valid	Valid	304,5	217,3	634,6	368,1	220,1	631,4	118,9	300,9	120,0	302,6	0,2622	0,6797	0,2615	0,6781	0,2628	0,6813	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126952	557027	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806251699			352	797	347	794	357	800	-0,27994	0,12389	-0,95199	-0,36128	0,12026	-0,92467	3,296	3,374	Valid	Valid	304,5	217,3	634,4	368,1	220,1	631,3	117,9	299,9	121,5	302,2	0,2625	0,6784	0,2605	0,6762	0,2646	0,6805	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126968	557044	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806268354			351	799	347	794	354	805	-0,27997	0,12393	-0,95198	-0,36256	0,12263	-0,92386	3,291	3,375	Valid	Valid	304,5	217,4	634,3	368,1	220,2	631,1	118,0	300,0	120,4	303,9	0,2619	0,6801	0,2605	0,6764	0,2634	0,6837	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
126985	557060	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806285009			351	804	347	799	356	809	-0,28008	0,12653	-0,95160	-0,36168	0,12504	-0,92388	3,285	3,367	Valid	Valid	304,5	217,5	634,0	368,1	220,3	630,8	117,9	301,8	121,1	305,7	0,2623	0,6833	0,2604	0,6798	0,2641	0,6869	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	200	280	349	801	0,2613	0,6811	1	0	0	0	0	1	0										
127002	557077	Eye Tracker	Magisterka	26.06.2022	Participant2	Recording2	12.06.2022	12.06.2022	23:01:43.253	21:01:43.253	165526	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	22,2			1,75			65			22,5	3,6	2,4	1,93	0,32	0,21	66	11	7	1806301663			433	801	420	788	446	815	-0,24470	0,12231	-0,96185	-0,32138	0,13096	-0,93785	3,304	3,364	Valid	Valid	304,8	216,7	636,3	368,6	219,5	633,1	142,9	297,6	151,6	307,9	0,2942	0,6816	0,2892	0,6721	0,2992	0,6910	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	33	340						0	0	0	0	0	0										
