Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Average calibration accuracy [px]	Average calibration precision SD [px]	Average calibration precision RMS [px]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Ungrouped	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Fire]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC corp]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - NPC face]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Player]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Text]	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
127479	2356169	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605371029			1141	794	1137	779	1146	808	0,18530	0,15027	-0,97112	0,08423	0,16864	-0,98207	3,670	3,628	Valid	Valid	275,4	204,4	582,1	339,7	205,3	581,0	386,5	294,4	389,5	305,1	0,5708	0,6760	0,5691	0,6663	0,5725	0,6858	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	250	309	1145	787	0,5723	0,6714	1	0	0	0	0	1	0										
127496	2356186	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605387684			1149	795	1144	781	1155	809	0,18940	0,15101	-0,97022	0,08940	0,16927	-0,98151	3,647	3,628	Valid	Valid	275,5	204,5	581,7	339,7	205,5	580,6	389,0	295,0	392,6	305,6	0,5740	0,6770	0,5719	0,6673	0,5760	0,6867	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	250	309	1145	787	0,5723	0,6714	1	0	0	0	0	1	0										
127513	2356202	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605404339			1190	826	1176	839	1204	813	0,20484	0,18647	-0,96087	0,11671	0,17205	-0,97815	3,846	3,624	Valid	Valid	275,6	203,9	583,3	340,0	204,8	582,2	400,0	317,1	409,5	307,2	0,5900	0,6988	0,5845	0,7078	0,5954	0,6898	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	50	515						0	0	0	0	0	0										
127529	2356219	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605420993			1212	811	1208	820	1216	803	0,22139	0,17491	-0,95937	0,12265	0,16610	-0,97845	3,796	3,594	Valid	Valid	275,7	203,1	585,2	340,3	204,1	584,0	410,7	309,8	413,5	303,2	0,5985	0,6885	0,5969	0,6945	0,6000	0,6824	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	50	515						0	0	0	0	0	0										
127546	2356236	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605437648			1213	788	1212	779	1214	797	0,22439	0,15010	-0,96287	0,12153	0,16300	-0,97911	3,621	3,604	Valid	Valid	275,6	203,0	585,5	340,2	204,0	584,4	412,1	294,2	412,8	301,2	0,5988	0,6723	0,5984	0,6659	0,5992	0,6788	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Saccade	50	515						0	0	0	0	0	0										
127563	2356252	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605454303			1217	785	1219	774	1215	796	0,22786	0,14700	-0,96253	0,12180	0,16226	-0,97920	3,625	3,612	Valid	Valid	275,6	202,8	585,8	340,3	203,9	584,6	414,3	292,3	413,0	300,7	0,6002	0,6701	0,6010	0,6623	0,5995	0,6778	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	310	1220	787	0,6017	0,6717	1	0	0	0	0	1	0										
127579	2356269	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605470957			1219	787	1218	779	1220	795	0,22763	0,15039	-0,96206	0,12466	0,16181	-0,97892	3,625	3,601	Valid	Valid	275,6	202,8	585,9	340,3	203,8	584,8	414,3	294,4	414,8	300,5	0,6012	0,6717	0,6009	0,6661	0,6015	0,6773	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	310	1220	787	0,6017	0,6717	1	0	0	0	0	1	0										
127596	2356286	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605487612			1220	788	1217	781	1223	796	0,22698	0,15134	-0,96207	0,12633	0,16217	-0,97864	3,627	3,590	Valid	Valid	275,6	202,7	586,0	340,3	203,8	584,9	413,9	294,9	415,8	300,7	0,6016	0,6724	0,6005	0,6671	0,6028	0,6777	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	310	1220	787	0,6017	0,6717	1	0	0	0	0	1	0										
127613	2356302	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605504267			1221	788	1217	782	1225	794	0,22650	0,15227	-0,96204	0,12743	0,16123	-0,97866	3,629	3,573	Valid	Valid	275,7	202,7	586,0	340,3	203,8	584,9	413,6	295,5	416,5	300,1	0,6019	0,6724	0,6002	0,6682	0,6035	0,6767	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	310	1220	787	0,6017	0,6717	1	0	0	0	0	1	0										
127629	2356319	Eye Tracker	Magisterka	26.06.2022	Participant12	Recording12	12.06.2022	12.06.2022	23:31:41.767	21:31:41.767	166140	Timeline1	Tobii I-VT (Fixation)	1.181.37603	1080	1920	10,00	25,9			2,22			76			14,0	5,4	3,1	1,30	0,50	0,29	41	16	9	3605520921			1220	790	1217	781	1222	799	0,22667	0,15189	-0,96205	0,12592	0,16387	-0,97841	3,614	3,580	Valid	Valid	275,7	202,7	586,0	340,4	203,8	584,9	413,7	295,2	415,6	301,7	0,6014	0,6737	0,6003	0,6677	0,6025	0,6796	Desktop 2022.06.12 - 22.07.32.02	Desktop 2022.06.12 - 22.07.32.02.mp4	2560	1440	-320	-180	2560	1440	Fixation	217	310	1220	787	0,6017	0,6717	1	0	0	0	0	1	0										
